system:index,alarm_date,cbi_over,cbi_over_t,cbi_tot,cbi_tot_t,fire_name,id,source,.geo
000004ee2694ee912cd9,939193200000,1.84,,,,Lost,175,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59730495746855,37.63645088334718]}"
00000d4554e56589c73f,939193200000,2.98,,,,Lost,174,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59679897092778,37.63662872454774]}"
0000265da40b858247ed,939193200000,0.49,,,,Lost,167,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.59784607190788,37.63929359786661]}"
00000b9486a41237c005,1028185200000,2.28,,,,PW-3,260,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.79153617856227,37.78429543412403]}"
0000572ca47274999e99,1028185200000,1.49,,,,PW-3,267,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.79174084345867,37.783398542165976]}"
0000b386b211852a7e6f,1028185200000,2.74,,,,WOLF,286,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65322754482978,37.887384901651785]}"
000077482695c3f9c567,1028185200000,1.01,,,,WOLF,290,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65609391901525,37.88773473192623]}"
0000593da5256283d0dd,1028185200000,1.08,,,,WOLF,298,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.6636979296761,37.861485943495204]}"
00009a575624232ea3e8,1028185200000,1.46,,,,WOLF,293,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.66524792447055,37.860027167405015]}"
0000c6426360c083cd69,1028185200000,1.78,,,,WOLF,302,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65766649554372,37.863172120365356]}"
0000afae997e33dddc9b,1028185200000,2.1,,,,WOLF,303,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65853861759284,37.86403547487716]}"
0000afc7bb8f0375bd86,1028185200000,0.2,,,,WOLF,309,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65553816843811,37.866256765519616]}"
0000f1bf746190c47a13,1028185200000,0.81,,,,WOLF,283,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65178356108564,37.87312648056989]}"
0000312da0f0088007a3,1028185200000,1.43,,,,WOLF,301,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65625590012559,37.87231378452738]}"
00000ce9d3fa81cc34d0,1028185200000,2.34,,,,WOLF,300,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65855740011811,37.87214468095409]}"
00002d5c2f823f01718a,1028185200000,2.29,,,,WOLF,282,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65901660698364,37.87195409345715]}"
000079d9811b105135a4,1028185200000,2.65,,,,WOLF,307,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65970783167634,37.87189342168625]}"
0000862629dc5060bf73,1028185200000,0.68,,,,WOLF,296,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65999159945906,37.86967037798001]}"
0000f011e807def78fe9,1028185200000,2.08,,,,WOLF,281,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.67284846086525,37.863089659969425]}"
